SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,2.82e+01,5.90e+00,0.00e+00,9.78e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,2.80e+01,6.31e+00,9.47e+00,9.47e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,2.82e+01,5.71e+00,0.00e+00,9.76e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.07e+01,2.20e+00,7.29e+00,7.29e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.11e+01,2.58e+00,8.29e+00,8.29e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.07e+01,2.72e+00,0.00e+00,6.93e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.14e+01,2.41e+00,0.00e+00,7.49e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.06e+01,2.77e+00,0.00e+00,6.63e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.06e+01,2.19e+00,6.86e+00,6.86e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.09e+01,2.54e+00,7.70e+00,7.70e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.06e+01,2.40e+00,0.00e+00,7.11e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.12e+01,2.69e+00,7.15e+00,7.15e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.11e+01,2.54e+00,0.00e+00,7.95e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.14e+01,2.69e+00,0.00e+00,7.40e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.12e+01,2.39e+00,0.00e+00,7.24e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.11e+01,2.77e+00,7.66e+00,7.66e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.40e+00,1.02e+00,0.00e+00,1.62e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.09e+01,2.62e+00,0.00e+00,9.03e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.62e+00,9.86e-01,0.00e+00,1.84e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.56e+00,9.52e-01,0.00e+00,1.72e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.67e+00,9.03e-01,0.00e+00,1.86e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.59e+00,9.63e-01,0.00e+00,1.77e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.69e+00,8.03e-01,0.00e+00,1.71e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.74e+00,1.01e+00,0.00e+00,1.89e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.62e+00,9.80e-01,0.00e+00,1.59e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.52e+00,8.58e-01,0.00e+00,1.62e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.71e+00,1.04e+00,0.00e+00,1.80e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.58e+00,8.86e-01,0.00e+00,2.03e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.71e+00,9.90e-01,0.00e+00,1.76e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.46e+00,9.16e-01,0.00e+00,1.51e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.73e+00,9.13e-01,0.00e+00,2.03e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.58e+00,9.40e-01,0.00e+00,1.63e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.46e+00,8.89e-01,0.00e+00,1.74e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.42e+00,8.98e-01,0.00e+00,1.56e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.79e+00,9.70e-01,0.00e+00,2.04e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.49e+00,9.34e-01,0.00e+00,1.61e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.69e+00,9.35e-01,0.00e+00,1.83e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.61e+00,1.01e+00,0.00e+00,1.64e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.42e+00,1.03e+00,0.00e+00,1.69e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.70e+00,1.00e+00,0.00e+00,1.85e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.57e+00,9.19e-01,0.00e+00,1.68e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.67e+00,8.63e-01,0.00e+00,2.00e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.65e+00,1.09e+00,0.00e+00,1.75e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.73e+00,1.03e+00,0.00e+00,1.80e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.67e+00,9.49e-01,0.00e+00,1.95e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.77e+00,8.42e-01,0.00e+00,1.93e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.75e+00,8.86e-01,0.00e+00,2.08e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,1.66e+00,9.36e-01,0.00e+00,1.74e+00
SunEarth_4m_H2O                                   ,5.00e+03,1.00e-10, 1.000,9.45e-01,9.09e-01,0.00e+00,1.10e+00
